sample_id,video_id,split,label,timestamp_sec,detector_source,category,image_path,bbox_ok,landmarks_overall_ok,eyes_ok,mouth_ok,nose_chin_ok,pose_axis_ok,manual_decision,review_note
train_d_438_t1p0,d_438,train,drowsy,1.0,HOG,hog_success,visual_samples/hog_success/train_d_438_t1p0.jpg,,,,,,,,
train_d_438_t1p0,d_438,train,drowsy,1.0,HOG,suspicious_geometry,visual_samples/suspicious_geometry/train_d_438_t1p0.jpg,,,,,,,,
train_d_438_t1p0,d_438,train,drowsy,1.0,HOG,large_pose,visual_samples/large_pose/train_d_438_t1p0.jpg,,,,,,,,
train_d_438_t1p0,d_438,train,drowsy,1.0,YUNET_PAIRED_AUDIT,paired_detector_difference,visual_samples/paired_detector_difference/train_d_438_t1p0.jpg,,,,,,,,
train_n_908_t1p0,n_908,train,not_drowsy,1.0,HOG,hog_success,visual_samples/hog_success/train_n_908_t1p0.jpg,,,,,,,,
train_n_908_t1p0,n_908,train,not_drowsy,1.0,HOG,suspicious_geometry,visual_samples/suspicious_geometry/train_n_908_t1p0.jpg,,,,,,,,
train_n_908_t1p0,n_908,train,not_drowsy,1.0,HOG,large_pose,visual_samples/large_pose/train_n_908_t1p0.jpg,,,,,,,,
train_n_908_t1p0,n_908,train,not_drowsy,1.0,YUNET_PAIRED_AUDIT,paired_detector_difference,visual_samples/paired_detector_difference/train_n_908_t1p0.jpg,,,,,,,,
val_d_796_t1p0,d_796,val,drowsy,1.0,HOG,hog_success,visual_samples/hog_success/val_d_796_t1p0.jpg,,,,,,,,
val_d_796_t1p0,d_796,val,drowsy,1.0,HOG,suspicious_geometry,visual_samples/suspicious_geometry/val_d_796_t1p0.jpg,,,,,,,,
val_d_796_t1p0,d_796,val,drowsy,1.0,HOG,large_pose,visual_samples/large_pose/val_d_796_t1p0.jpg,,,,,,,,
val_d_796_t1p0,d_796,val,drowsy,1.0,YUNET_PAIRED_AUDIT,paired_detector_difference,visual_samples/paired_detector_difference/val_d_796_t1p0.jpg,,,,,,,,
val_n_835_t1p0,n_835,val,not_drowsy,1.0,FACE_NOT_FOUND,detector_failed,visual_samples/detector_failed/val_n_835_t1p0.jpg,,,,,,,,
train_d_438_t3p0,d_438,train,drowsy,3.0,HOG,hog_success,visual_samples/hog_success/train_d_438_t3p0.jpg,,,,,,,,
train_d_438_t3p0,d_438,train,drowsy,3.0,HOG,suspicious_geometry,visual_samples/suspicious_geometry/train_d_438_t3p0.jpg,,,,,,,,
train_d_438_t3p0,d_438,train,drowsy,3.0,HOG,large_pose,visual_samples/large_pose/train_d_438_t3p0.jpg,,,,,,,,
train_d_438_t3p0,d_438,train,drowsy,3.0,YUNET_PAIRED_AUDIT,paired_detector_difference,visual_samples/paired_detector_difference/train_d_438_t3p0.jpg,,,,,,,,
train_n_908_t3p0,n_908,train,not_drowsy,3.0,HOG,hog_success,visual_samples/hog_success/train_n_908_t3p0.jpg,,,,,,,,
train_n_908_t3p0,n_908,train,not_drowsy,3.0,HOG,suspicious_geometry,visual_samples/suspicious_geometry/train_n_908_t3p0.jpg,,,,,,,,
train_n_908_t3p0,n_908,train,not_drowsy,3.0,HOG,large_pose,visual_samples/large_pose/train_n_908_t3p0.jpg,,,,,,,,
train_n_908_t3p0,n_908,train,not_drowsy,3.0,YUNET_PAIRED_AUDIT,paired_detector_difference,visual_samples/paired_detector_difference/train_n_908_t3p0.jpg,,,,,,,,
val_d_796_t3p0,d_796,val,drowsy,3.0,HOG,hog_success,visual_samples/hog_success/val_d_796_t3p0.jpg,,,,,,,,
val_d_796_t3p0,d_796,val,drowsy,3.0,HOG,suspicious_geometry,visual_samples/suspicious_geometry/val_d_796_t3p0.jpg,,,,,,,,
val_d_796_t3p0,d_796,val,drowsy,3.0,HOG,large_pose,visual_samples/large_pose/val_d_796_t3p0.jpg,,,,,,,,
val_d_796_t3p0,d_796,val,drowsy,3.0,YUNET_PAIRED_AUDIT,paired_detector_difference,visual_samples/paired_detector_difference/val_d_796_t3p0.jpg,,,,,,,,
val_n_835_t3p0,n_835,val,not_drowsy,3.0,YUNET_FALLBACK,yunet_fallback,visual_samples/yunet_fallback/val_n_835_t3p0.jpg,,,,,,,,
val_n_835_t3p0,n_835,val,not_drowsy,3.0,YUNET_FALLBACK,suspicious_geometry,visual_samples/suspicious_geometry/val_n_835_t3p0.jpg,,,,,,,,
val_n_835_t3p0,n_835,val,not_drowsy,3.0,YUNET_FALLBACK,large_pose,visual_samples/large_pose/val_n_835_t3p0.jpg,,,,,,,,
train_d_438_t5p0,d_438,train,drowsy,5.0,HOG,hog_success,visual_samples/hog_success/train_d_438_t5p0.jpg,,,,,,,,
train_d_438_t5p0,d_438,train,drowsy,5.0,HOG,suspicious_geometry,visual_samples/suspicious_geometry/train_d_438_t5p0.jpg,,,,,,,,
train_d_438_t5p0,d_438,train,drowsy,5.0,HOG,large_pose,visual_samples/large_pose/train_d_438_t5p0.jpg,,,,,,,,
train_d_438_t5p0,d_438,train,drowsy,5.0,YUNET_PAIRED_AUDIT,paired_detector_difference,visual_samples/paired_detector_difference/train_d_438_t5p0.jpg,,,,,,,,
train_n_908_t5p0,n_908,train,not_drowsy,5.0,HOG,hog_success,visual_samples/hog_success/train_n_908_t5p0.jpg,,,,,,,,
train_n_908_t5p0,n_908,train,not_drowsy,5.0,HOG,suspicious_geometry,visual_samples/suspicious_geometry/train_n_908_t5p0.jpg,,,,,,,,
train_n_908_t5p0,n_908,train,not_drowsy,5.0,HOG,large_pose,visual_samples/large_pose/train_n_908_t5p0.jpg,,,,,,,,
train_n_908_t5p0,n_908,train,not_drowsy,5.0,YUNET_PAIRED_AUDIT,paired_detector_difference,visual_samples/paired_detector_difference/train_n_908_t5p0.jpg,,,,,,,,
val_d_796_t5p0,d_796,val,drowsy,5.0,HOG,hog_success,visual_samples/hog_success/val_d_796_t5p0.jpg,,,,,,,,
